Dia,Casos
0,460
1,4657
2,18127
3,23549
4,21501
5,24769
6,27339
7,26172
8,35695
9,55071
10,114352
11,138131
12,75327
13,49231
14,29307
15,16629
16,16043
17,54037
18,119159
19,77322
20,33666
21,13788
