Entidad,Municipio,Habitantes,Mujeres,Hombres,Viviendas,ViviendasConLavadora,PorcentajeVivLavadora
Oaxaca,Santiago Lachiguiri,4394,2259,2135,2545,212,0.08330058939096267
Oaxaca,Santiago Lalopa,431,228,203,251,24,0.09561752988047809
Oaxaca,Santiago Laollaga,3361,1732,1629,1579,492,0.311589613679544
Oaxaca,Santiago Laxopa,1291,696,595,597,81,0.135678391959799
Oaxaca,Santiago Llano Grande,3440,1724,1716,1442,545,0.3779472954230236
Oaxaca,Santiago Matatlán,10175,5461,4714,4002,792,0.19790104947526238
Oaxaca,Santiago Miltepec,421,211,210,278,84,0.302158273381295
Oaxaca,Santiago Minas,1327,675,652,539,240,0.4452690166975881
Oaxaca,Santiago Nacaltepec,1599,864,735,1154,240,0.20797227036395147
Oaxaca,Santiago Nejapilla,174,90,84,214,13,0.06074766355140187
Oaxaca,Santiago Nundiche,1351,707,644,828,31,0.03743961352657005
Oaxaca,Santiago Nuyoó,1898,988,910,930,124,0.13333333333333333
Oaxaca,Santiago Pinotepa Nacional,55840,28626,27214,21105,6485,0.3072731580194267
Oaxaca,Santiago Suchilquitongo,10886,5642,5244,3480,1545,0.44396551724137934
Oaxaca,Santiago Tamazola,4458,2356,2102,1980,810,0.4090909090909091
Oaxaca,Santiago Tapextla,3134,1552,1582,1112,437,0.39298561151079137
Oaxaca,Villa Tejúpam de la Unión,2419,1259,1160,1274,358,0.28100470957613816
Oaxaca,Santiago Tenango,1966,997,969,860,166,0.1930232558139535
Oaxaca,Santiago Tepetlapa,130,78,52,146,22,0.1506849315068493
Oaxaca,Santiago Tetepec,4909,2531,2378,1685,323,0.1916913946587537
Oaxaca,Santiago Texcalcingo,2974,1569,1405,1165,71,0.06094420600858369
Oaxaca,Santiago Textitlán,4930,2510,2420,1127,311,0.2759538598047915
Oaxaca,Santiago Tilantongo,2764,1490,1274,2009,249,0.12394225983076157
Oaxaca,Santiago Tillo,545,286,259,379,107,0.28232189973614774
Oaxaca,Santiago Tlazoyaltepec,6300,3394,2906,2174,264,0.12143514259429623
Oaxaca,Santiago Xanica,3029,1491,1538,1231,54,0.043866774979691305
Oaxaca,Santiago Xiacuí,1893,987,906,1018,343,0.3369351669941061
Oaxaca,Santiago Yaitepec,4233,2327,1906,1184,178,0.15033783783783783
Oaxaca,Santiago Yaveo,7593,3806,3787,2685,915,0.3407821229050279
Oaxaca,Santiago Yolomécatl,1922,1038,884,1212,324,0.26732673267326734
Oaxaca,Santiago Yosondúa,7991,4238,3753,4208,884,0.21007604562737642
Oaxaca,Santiago Yucuyachi,998,505,493,806,241,0.2990074441687345
Oaxaca,Santiago Zacatepec,5089,2610,2479,1945,58,0.02982005141388175
Oaxaca,Santiago Zoochila,425,219,206,205,72,0.35121951219512193
Oaxaca,Nuevo Zoquiápam,1590,828,762,562,337,0.599644128113879
Oaxaca,Santo Domingo Ingenio,7681,3916,3765,3163,1819,0.5750869427758457
Oaxaca,Santo Domingo Albarradas,798,421,377,365,71,0.19452054794520549
Oaxaca,Santo Domingo Armenta,3155,1573,1582,1400,472,0.33714285714285713
Oaxaca,Santo Domingo Chihuitán,1618,825,793,834,346,0.4148681055155875
Oaxaca,Santo Domingo de Morelos,11384,5914,5470,3179,252,0.07927021075810003
Oaxaca,Santo Domingo Ixcatlán,760,415,345,513,120,0.23391812865497075
Oaxaca,Santo Domingo Nuxaá,3335,1709,1626,1598,86,0.05381727158948686
Oaxaca,Santo Domingo Ozolotepec,1101,576,525,407,82,0.20147420147420148
Oaxaca,Santo Domingo Petapa,9027,4525,4502,3623,1081,0.2983715153187966
Oaxaca,Santo Domingo Roayaga,941,491,450,408,13,0.031862745098039214
Oaxaca,Santo Domingo Tehuantepec,67739,34914,32825,25746,11670,0.4532742950361221
Oaxaca,Santo Domingo Teojomulco,5260,2684,2576,1645,638,0.3878419452887538
Oaxaca,Santo Domingo Tepuxtepec,6029,3233,2796,2281,144,0.06313020604997809
Oaxaca,Santo Domingo Tlatayápam,113,61,52,141,17,0.12056737588652482
