Entidad,Municipio,Habitantes,Mujeres,Hombres,Viviendas,ViviendasConLavadora,PorcentajeVivLavadora
Oaxaca,Sitio de Xitlapehua,713,364,349,307,80,0.26058631921824105
Oaxaca,Soledad Etla,6348,3271,3077,2101,1104,0.5254640647310804
Oaxaca,Villa de Tamazulápam del Progreso,8326,4570,3756,3285,1535,0.4672754946727549
Oaxaca,Tanetze de Zaragoza,1558,812,746,815,100,0.12269938650306748
Oaxaca,Taniche,887,474,413,350,113,0.32285714285714284
Oaxaca,Tataltepec de Valdés,6386,3274,3112,1966,295,0.15005086469989828
Oaxaca,Teococuilco de Marcos Pérez,1032,533,499,723,180,0.24896265560165975
Oaxaca,Teotitlán de Flores Magón,10099,5313,4786,3540,1434,0.40508474576271186
Oaxaca,Teotitlán del Valle,6392,3355,3037,2404,850,0.35357737104825293
Oaxaca,Teotongo,1005,548,457,705,184,0.26099290780141843
Oaxaca,Tepelmeme Villa de Morelos,1960,1044,916,1171,268,0.22886421861656703
Oaxaca,"Heroica Villa Tezoatlán de Segura y Luna, Cuna de",11465,6069,5396,6485,1546,0.23839629915188898
Oaxaca,San Jerónimo Tlacochahuaya,5764,3052,2712,2151,699,0.32496513249651326
Oaxaca,Tlacolula de Matamoros,30254,15869,14385,14770,4733,0.3204468517264726
Oaxaca,Tlacotepec Plumas,410,212,198,407,80,0.19656019656019655
Oaxaca,Tlalixtac de Cabrera,12067,6295,5772,3863,1974,0.5110018120631633
Oaxaca,Totontepec Villa de Morelos,5904,3063,2841,2070,323,0.15603864734299516
Oaxaca,Trinidad Zaachila,3419,1812,1607,1199,551,0.45954962468723937
Oaxaca,La Trinidad Vista Hermosa,306,155,151,178,45,0.25280898876404495
Oaxaca,Unión Hidalgo,14542,7465,7077,5269,2877,0.5460239134560637
Oaxaca,Valerio Trujano,1376,736,640,657,198,0.3013698630136986
Oaxaca,San Juan Bautista Valle Nacional,23067,12081,10986,7982,2302,0.2883988975194187
Oaxaca,Villa Díaz Ordaz,6467,3503,2964,2466,481,0.19505271695052717
Oaxaca,Yaxe,2954,1524,1430,1010,114,0.11287128712871287
Oaxaca,Magdalena Yodocono de Porfirio Díaz,1682,869,813,1002,243,0.24251497005988024
Oaxaca,Yogana,1245,649,596,580,133,0.2293103448275862
Oaxaca,Yutanduchi de Guerrero,1195,618,577,668,47,0.07035928143712575
Oaxaca,Villa de Zaachila,46464,24301,22163,17641,6096,0.34555864180035145
Oaxaca,San Mateo Yucutindoo,3144,1558,1586,1299,233,0.17936874518860663
Oaxaca,Zapotitlán Lagunas,3382,1745,1637,1665,630,0.3783783783783784
Oaxaca,Zapotitlán Palmas,1695,930,765,854,325,0.3805620608899297
Oaxaca,Santa Inés de Zaragoza,1454,760,694,1124,141,0.12544483985765126
Oaxaca,Zimatlán de Álvarez,22093,11663,10430,8352,3311,0.39643199233716475
Puebla,Acajete,72894,37755,35139,18617,7754,0.4165010474297685
Puebla,Acateno,9170,4584,4586,3161,1168,0.3695033217336286
Puebla,Acatlán,37955,20119,17836,15496,6856,0.44243675787299946
Puebla,Acatzingo,63743,32820,30923,15749,7109,0.45139373928503396
Puebla,Acteopan,3070,1624,1446,1147,135,0.11769834350479512
Puebla,Ahuacatlán,14542,7690,6852,4588,562,0.12249346120313863
Puebla,Ahuatlán,3162,1605,1557,1180,413,0.35
Puebla,Ahuazotepec,11439,5890,5549,3771,1861,0.49350304958896846
Puebla,Ahuehuetitla,2207,1154,1053,1256,422,0.3359872611464968
Puebla,Ajalpan,74768,38577,36191,18136,4904,0.27040141155712394
Puebla,Albino Zertuche,1885,999,886,858,303,0.3531468531468531
Puebla,Aljojuca,6591,3491,3100,2333,776,0.33261894556365196
Puebla,Altepexi,22629,11740,10889,5429,2519,0.4639896850248665
Puebla,Amixtlán,4812,2542,2270,1790,282,0.15754189944134078
Puebla,Amozoc,125876,64397,61479,39212,20551,0.5240997653779456
Puebla,Aquixtla,9021,4513,4508,3455,1171,0.33892908827785817
Puebla,Atempan,29742,15463,14279,8512,1816,0.21334586466165414
Puebla,Atexcal,3859,2018,1841,1763,365,0.20703346568349404
Puebla,Atlixco,141793,74931,66862,49457,22826,0.46153224012778776
Puebla,Atoyatempan,7704,3944,3760,2260,914,0.4044247787610619
Puebla,Atzala,1512,783,729,567,288,0.5079365079365079
Puebla,Atzitzihuacán,12857,6832,6025,4504,1268,0.28152753108348133
Puebla,Atzitzintla,9051,4630,4421,2618,1049,0.4006875477463713
Puebla,Axutla,976,510,466,665,265,0.39849624060150374
Puebla,Ayotoxco de Guerrero,8208,4240,3968,2990,794,0.2655518394648829
Puebla,Calpan,15271,7934,7337,4862,1788,0.36774989716166184
Puebla,Caltepec,4128,2205,1923,2339,477,0.2039333048311244
Puebla,Camocuautla,2758,1391,1367,881,22,0.024971623155505107
Puebla,Caxhuacan,3811,1995,1816,1230,204,0.16585365853658537
Puebla,Coatepec,772,400,372,277,66,0.23826714801444043
Puebla,Coatzingo,2820,1457,1363,1485,543,0.3656565656565657
Puebla,Cohetzala,1382,663,719,867,323,0.37254901960784315
Puebla,Cohuecan,5403,2854,2549,1733,459,0.26485862665897286
Puebla,Coronango,46836,23852,22984,14489,7182,0.49568638277313826
Puebla,Coxcatlán,20653,10878,9775,6519,2366,0.3629391010891241
Puebla,Coyomeapan,14806,7863,6943,4870,325,0.06673511293634497
Puebla,Coyotepec,2334,1235,1099,1635,441,0.26972477064220185
Puebla,Cuapiaxtla de Madero,10542,5346,5196,2802,1319,0.4707351891506067
Puebla,Cuautempan,9837,5178,4659,4160,609,0.14639423076923078
Puebla,Cuautinchán,12340,6236,6104,3800,1213,0.3192105263157895
Puebla,Cuautlancingo,137435,70485,66950,53831,30987,0.5756348572383942
Puebla,Cuayuca de Andrade,3315,1686,1629,1546,553,0.3576972833117723
Puebla,Cuetzalan del Progreso,49864,25715,24149,16348,2458,0.15035478345975042
Puebla,Cuyoaco,17139,8913,8226,5434,1980,0.3643724696356275
Puebla,Chalchicomula de Sesma,47410,24622,22788,15135,6303,0.4164519326065411
Puebla,Chapulco,8193,4256,3937,2429,981,0.4038699053108275
Puebla,Chiautla,21699,11027,10672,8310,4278,0.5148014440433213
Puebla,Chiautzingo,22039,11543,10496,6086,2698,0.4433125205389418
Puebla,Chiconcuautla,17382,8918,8464,5198,502,0.09657560600230858
Puebla,Chichiquila,26928,13625,13303,6448,638,0.0989454094292804
Puebla,Chietla,37030,19041,17989,13960,7779,0.5572349570200573
Puebla,Chigmecatitlán,1215,679,536,728,100,0.13736263736263737
Puebla,Chignahuapan,66464,34302,32162,22371,9593,0.4288140896696616
Puebla,Chignautla,35223,18291,16932,9075,2531,0.27889807162534436
Puebla,Chila,5082,2664,2418,2421,860,0.3552251135894259
Puebla,Chila de la Sal,1317,682,635,856,323,0.3773364485981308
Puebla,Honey,6687,3482,3205,2390,715,0.29916317991631797
Puebla,Chilchotla,21002,10595,10407,6217,1486,0.23902203635193822
Puebla,Chinantla,2846,1464,1382,1652,552,0.3341404358353511
Puebla,Domingo Arenas,7982,4150,3832,2626,619,0.2357197258187357
Puebla,Eloxochitlán,14461,7391,7070,3878,176,0.04538421866941723
Puebla,Epatlán,4943,2522,2421,1885,960,0.5092838196286472
Puebla,Esperanza,14766,7675,7091,5021,2169,0.43198566022704643
Puebla,Francisco Z. Mena,17824,8957,8867,6234,2222,0.3564324671158165
Puebla,General Felipe Ángeles,22694,11712,10982,6668,2286,0.34283143371325736
Puebla,Guadalupe,6451,3438,3013,3958,1312,0.3314805457301668
Puebla,Guadalupe Victoria,18784,9575,9209,6071,2160,0.3557898204579147
Puebla,Hermenegildo Galeana,7011,3633,3378,2450,353,0.14408163265306123
Puebla,Huaquechula,29233,15433,13800,9781,3833,0.39188222063183725
Puebla,Huatlatlauca,6111,3327,2784,3786,650,0.1716851558372953
Puebla,Huauchinango,103946,55128,48818,34773,13855,0.39844131941448824
Puebla,Huehuetla,17082,8709,8373,4939,466,0.09435108321522576
Puebla,Huehuetlán el Chico,9760,4968,4792,3534,1682,0.47594793435200905
Puebla,Huejotzingo,90794,46719,44075,36822,14284,0.3879202650589322
Puebla,Hueyapan,13080,6821,6259,4159,449,0.10795864390478481
Puebla,Hueytamalco,27600,14003,13597,9626,2902,0.3014751714107625
Puebla,Hueytlalpan,5951,3027,2924,1745,93,0.05329512893982808
Puebla,Huitzilan de Serdán,15928,7836,8092,4933,314,0.06365294952361646
Puebla,Huitziltepec,5782,2985,2797,2081,749,0.35992311388755405
Puebla,Atlequizayan,2633,1405,1228,962,48,0.0498960498960499
Puebla,Ixcamilpa de Guerrero,4065,2117,1948,1669,777,0.46554823247453564
Puebla,Ixcaquixtla,8804,4611,4193,3245,1486,0.4579352850539291
Puebla,Ixtacamaxtitlán,25319,12831,12488,9508,2192,0.23054270088346657
Puebla,Ixtepec,6950,3580,3370,2195,125,0.05694760820045558
Puebla,Izúcar de Matamoros,82809,43258,39551,28848,15565,0.5395521353300056
Puebla,Jalpan,12050,6333,5717,4203,863,0.20532952652867
Puebla,Jolalpan,13308,6890,6418,4816,1353,0.2809385382059801
Puebla,Jonotla,4457,2285,2172,1707,334,0.19566490919742238
Puebla,Jopala,12131,6314,5817,3950,836,0.21164556962025316
Puebla,Juan C. Bonilla,23783,12308,11475,7439,3655,0.4913294797687861
Puebla,Juan Galindo,9828,5269,4559,3604,1817,0.5041620421753608
Puebla,Juan N. Méndez,5293,2738,2555,2417,740,0.30616466694249067
Puebla,Lafragua,7650,3941,3709,3024,749,0.24768518518518517
Puebla,Libres,37257,19160,18097,11879,4791,0.4033167775065241
Puebla,La Magdalena Tlatlauquitepec,650,326,324,291,110,0.37800687285223367
Puebla,Mazapiltepec de Juárez,3176,1619,1557,1021,379,0.3712047012732615
Puebla,Mixtla,2668,1398,1270,763,307,0.40235910878112713
Puebla,Molcaxac,6668,3495,3173,2662,654,0.24567993989481593
Puebla,Cañada Morelos,20659,10748,9911,6634,3057,0.46080795899909555
Puebla,Naupan,9310,4990,4320,3333,182,0.054605460546054606
Puebla,Nauzontla,3317,1774,1543,1390,282,0.20287769784172663
Puebla,Nealtican,14075,7260,6815,3789,1490,0.39324359989443125
Puebla,Nicolás Bravo,6644,3414,3230,2259,751,0.33244798583444
Puebla,Nopalucan,32772,16881,15891,8776,3731,0.42513673655423884
Puebla,Ocotepec,5077,2644,2433,2035,656,0.32235872235872237
Puebla,Ocoyucan,42669,22249,20420,14069,7450,0.5295330158504513
Puebla,Olintla,11993,6158,5835,3689,186,0.05042016806722689
Puebla,Oriental,19903,10225,9678,5804,2452,0.4224672639558925
Puebla,Pahuatlán,20274,10600,9674,6919,1487,0.21491545020956784
Puebla,Palmar de Bravo,50226,25631,24595,14554,5572,0.3828500755805964
Puebla,Pantepec,18528,9624,8904,6419,1325,0.2064184452406917
Puebla,Petlalcingo,9350,4861,4489,4065,1483,0.36482164821648216
Puebla,Piaxtla,4627,2365,2262,2865,1063,0.37102966841186735
Puebla,Puebla,1692181,882696,809485,570222,356688,0.6255247956059219
Puebla,Quecholac,57992,29625,28367,15842,6926,0.4371922737028153
Puebla,Quimixtlán,22855,11753,11102,6091,1304,0.21408635692004596
Puebla,Rafael Lara Grajales,15952,8327,7625,4284,2351,0.5487861811391224
Puebla,Los Reyes de Juárez,30021,15415,14606,7882,3648,0.4628266937325552
Puebla,San Andrés Cholula,154448,80176,74272,54085,34100,0.6304890450217251
Puebla,San Antonio Cañada,5938,3147,2791,1667,322,0.1931613677264547
Puebla,San Diego la Mesa Tochimiltzingo,1270,644,626,583,162,0.27787307032590053
Puebla,San Felipe Teotlalcingo,11063,5714,5349,3305,1493,0.4517397881996974
Puebla,San Felipe Tepatlán,3793,1964,1829,1317,183,0.13895216400911162
Puebla,San Gabriel Chilac,15954,8385,7569,4904,1789,0.3648042414355628
Puebla,San Gregorio Atzompa,9671,4989,4682,2811,1781,0.6335823550337958
Puebla,San Jerónimo Tecuanipan,6597,3479,3118,1837,672,0.3658138268916712
Puebla,San Jerónimo Xayacatlán,3606,1872,1734,2397,505,0.21068001668752606
Puebla,San José Chiapa,10443,5336,5107,3749,1297,0.34595892237930115
Puebla,San José Miahuatlán,14018,7298,6720,4783,1847,0.386159314237926
Puebla,San Juan Atenco,3604,1944,1660,1417,530,0.374029640084686
Puebla,San Juan Atzompa,975,467,508,492,153,0.31097560975609756
Puebla,San Martín Texmelucan,155738,80816,74922,47306,25260,0.5339703208895278
Puebla,San Martín Totoltepec,692,334,358,298,145,0.4865771812080537
Puebla,San Matías Tlalancaleca,20974,10756,10218,6374,3041,0.4770944461876373
Puebla,San Miguel Ixitlán,526,272,254,428,67,0.15654205607476634
Puebla,San Miguel Xoxtla,12461,6372,6089,3246,1924,0.5927295132470733
Puebla,San Nicolás Buenos Aires,10464,5344,5120,3253,1118,0.3436827543805718
Puebla,San Nicolás de los Ranchos,11780,6043,5737,3811,1126,0.29546050905274207
Puebla,San Pablo Anicano,3759,1968,1791,1660,666,0.40120481927710844
Puebla,San Pedro Cholula,138433,71979,66454,43528,27130,0.6232769711450101
Puebla,San Pedro Yeloixtlahuaca,3488,1803,1685,1882,685,0.36397449521785336
Puebla,San Salvador el Seco,30639,15649,14990,9378,2640,0.28150991682661547
Puebla,San Salvador el Verde,34880,17925,16955,10397,4835,0.46503799172838317
Puebla,San Salvador Huixcolotla,16790,8614,8176,4369,2215,0.5069810025177386
Puebla,San Sebastián Tlacotepec,13189,6703,6486,3954,193,0.04881133029843197
Puebla,Santa Catarina Tlaltempan,749,377,372,590,62,0.10508474576271186
Puebla,Santa Inés Ahuatempan,6341,3303,3038,2890,781,0.27024221453287195
Puebla,Santa Isabel Cholula,11498,5885,5613,3207,1065,0.33208606173994387
Puebla,Santiago Miahuatlán,30309,15636,14673,9078,3739,0.41187486230447234
Puebla,Huehuetlán el Grande,6105,3159,2946,2732,869,0.31808199121522696
Puebla,Santo Tomás Hueyotlipan,9315,4791,4524,2771,1301,0.46950559364850236
Puebla,Soltepec,12631,6528,6103,3894,1585,0.40703646635850027
Puebla,Tecali de Herrera,23625,12131,11494,7510,3083,0.41051930758988014
Puebla,Tecamachalco,80771,41990,38781,25031,11702,0.46750029962846074
Puebla,Tecomatlán,6830,3414,3416,3280,1092,0.3329268292682927
Puebla,Tehuacán,327312,172905,154407,104168,49361,0.47385953459795715
Puebla,Tehuitzingo,12672,6579,6093,5541,2292,0.4136437466161343
Puebla,Tenampulco,6743,3439,3304,2782,660,0.2372393961179008
Puebla,Teopantlán,3836,2124,1712,1882,415,0.22051009564293306
Puebla,Teotlalco,3689,1849,1840,1447,708,0.4892881824464409
Puebla,Tepanco de López,22218,11817,10401,6991,3269,0.46760120154484336
Puebla,Tepango de Rodríguez,4155,2236,1919,1353,83,0.06134515890613452
Puebla,Tepatlaxco de Hidalgo,18854,9734,9120,5007,1978,0.3950469342919912
Puebla,Tepeaca,84270,43761,40509,22184,10914,0.4919761990623873
Puebla,Tepemaxalco,1216,602,614,361,94,0.26038781163434904
Puebla,Tepeojuma,8918,4779,4139,3293,1564,0.47494685696932887
Puebla,Tepetzintla,10373,5458,4915,3444,224,0.06504065040650407
Puebla,Tepexco,7523,3819,3704,2504,640,0.25559105431309903
Puebla,Tepexi de Rodríguez,22331,11137,11194,8473,2946,0.34769267083677563
Puebla,Tepeyahualco,19200,9834,9366,5955,2214,0.3717884130982368
Puebla,Tepeyahualco de Cuauhtémoc,3851,2035,1816,1249,621,0.49719775820656525
Puebla,Tetela de Ocampo,27216,14116,13100,11553,3447,0.2983640612827837
Puebla,Teteles de Avila Castillo,6653,3766,2887,2329,914,0.39244310863031345
Puebla,Teziutlán,103583,54934,48649,34363,16400,0.4772575153508134
Puebla,Tianguismanalco,14432,7442,6990,6248,1489,0.23831626120358515
Puebla,Tilapa,9664,5029,4635,3527,1849,0.5242415650694642
Puebla,Tlacotepec de Benito Juárez,54757,29003,25754,17278,7094,0.41057992823243433
Puebla,Tlacuilotepec,15977,8101,7876,5785,1010,0.17458945548833188
Puebla,Tlachichuca,31639,16141,15498,9245,3063,0.3313142239048134
Puebla,Tlahuapan,41547,21086,20461,12553,5326,0.42428104835497493
Puebla,Tlaltenango,7425,3791,3634,2056,1032,0.5019455252918288
Puebla,Tlanepantla,5390,2808,2582,1349,374,0.27724240177909565
Puebla,Tlaola,20433,10583,9850,6139,732,0.11923766085681707
Puebla,Tlapacoya,6422,3347,3075,1972,497,0.25202839756592293
Puebla,Tlapanalá,10344,5294,5050,3285,1717,0.5226788432267885
Puebla,Tlatlauquitepec,55576,28959,26617,19115,6469,0.3384253204289825
Puebla,Tlaxco,4934,2506,2428,1846,447,0.24214517876489708
Puebla,Tochimilco,19315,10119,9196,6396,1762,0.2754846779237023
Puebla,Tochtepec,22454,11626,10828,6362,2930,0.46054699779943414
Puebla,Totoltepec de Guerrero,1187,634,553,914,142,0.15536105032822758
Puebla,Tulcingo,9871,5230,4641,5010,2030,0.405189620758483
Puebla,Tuzamapan de Galeana,5924,3015,2909,2151,363,0.16875871687587168
Puebla,Tzicatlacoyan,6476,3286,3190,2406,646,0.2684954280964256
Puebla,Venustiano Carranza,28395,14982,13413,9815,4359,0.44411614875191036
Puebla,Vicente Guerrero,26559,14125,12434,8013,1693,0.2112816672906527
Puebla,Xayacatlán de Bravo,1570,844,726,998,240,0.24048096192384769
Puebla,Xicotepec,80591,42143,38448,25690,9161,0.35659789801479175
Puebla,Xicotlán,1312,684,628,554,236,0.4259927797833935
Puebla,Xiutetelco,42943,22264,20679,11906,3669,0.3081639509491013
Puebla,Xochiapulco,3443,1818,1625,1757,301,0.17131474103585656
Puebla,Xochiltepec,3375,1807,1568,1282,642,0.500780031201248
Puebla,Xochitlán de Vicente Suárez,13025,6763,6262,4640,428,0.09224137931034483
Puebla,Xochitlán Todos Santos,7178,3771,3407,2605,1053,0.4042226487523992
Puebla,Yaonáhuac,7926,4243,3683,2504,552,0.22044728434504793
Puebla,Yehualtepec,26392,13683,12709,7936,3757,0.47341229838709675
Puebla,Zacapala,4647,2442,2205,1925,673,0.3496103896103896
Puebla,Zacapoaxtla,57887,30736,27151,19580,5899,0.3012768130745659
Puebla,Zacatlán,87361,45856,41505,29872,12328,0.41269416175682916
Puebla,Zapotitlán,8595,4610,3985,3583,1154,0.3220764722299749
Puebla,Zapotitlán de Méndez,5675,2882,2793,1897,297,0.1565629942013706
Puebla,Zaragoza,16752,8998,7754,5760,2656,0.46111111111111114
Puebla,Zautla,20717,10889,9828,7432,1683,0.22645317545748117
Puebla,Zihuateutla,11967,6193,5774,4070,704,0.17297297297297298
Puebla,Zinacatepec,18359,9578,8781,5215,2387,0.4577181208053691
Puebla,Zongozotla,4539,2322,2217,1394,121,0.08680057388809183
Puebla,Zoquiapan,2452,1314,1138,1091,152,0.13932172318973418
Puebla,Zoquitlán,20335,10630,9705,6682,520,0.07782101167315175
Querétaro,Amealco de Bonfil,66841,34606,32235,24475,7538,0.3079877425944842
Querétaro,Pinal de Amoles,27365,14072,13293,9513,3501,0.3680227057710501
Querétaro,Arroyo Seco,13142,6872,6270,5667,2889,0.509793541556379
Querétaro,Cadereyta de Montes,69075,36082,32993,23061,9389,0.407137591604874
Querétaro,Colón,67121,33910,33211,19056,9574,0.5024139378673383
Querétaro,Corregidora,212567,109535,103032,75308,56195,0.7462022627078132
Querétaro,Ezequiel Montes,45141,23449,21692,13878,6615,0.4766536964980545
Querétaro,Huimilpan,36808,19463,17345,13226,7323,0.5536821412369575
Querétaro,Jalpan de Serra,27343,14307,13036,10747,5359,0.4986507862659347
Querétaro,Landa de Matamoros,18794,9806,8988,8240,3971,0.48191747572815535
Querétaro,El Marqués,231668,116185,115483,90060,50727,0.5632578281145902
Querétaro,Pedro Escobedo,77404,39479,37925,22047,12126,0.5500068036467547
Querétaro,Peñamiller,19141,9789,9352,6824,2377,0.34832942555685814
Querétaro,Querétaro,1049777,535188,514589,358824,248356,0.6921387644081778
Querétaro,San Joaquín,8359,4484,3875,3327,1435,0.4313195070634205
Querétaro,San Juan del Río,297804,152454,145350,107354,60880,0.5670957765896008
Querétaro,Tequisquiapan,72201,37178,35023,25687,11792,0.4590648966403239
Querétaro,Tolimán,27916,14788,13128,9059,2380,0.2627221547632189
Quintana Roo,Cozumel,88626,44211,44415,31078,20033,0.6446038998648562
Quintana Roo,Felipe Carrillo Puerto,83990,42036,41954,27365,14412,0.5266581399598027
Quintana Roo,Isla Mujeres,22686,11144,11542,9557,5076,0.5311290153813958
Quintana Roo,Othón P. Blanco,233648,118552,115096,87728,55794,0.6359885099398139
Quintana Roo,Benito Juárez,911503,452178,459325,336997,221967,0.6586616498069716
Quintana Roo,José María Morelos,39165,19310,19855,13891,6857,0.4936289683968037
Quintana Roo,Lázaro Cárdenas,29171,14327,14844,10413,5612,0.5389417074810333
Quintana Roo,Solidaridad,333800,163324,170476,144680,76377,0.5279029582526956
Quintana Roo,Tulum,46721,22331,24390,21990,9023,0.41032287403365164
Quintana Roo,Bacalar,41754,20703,21051,14266,7541,0.5285994672648254
Quintana Roo,Puerto Morelos,26921,13090,13831,13757,6245,0.45395071599912773
San Luis Potosí,Ahualulco,18974,10029,8945,6251,3181,0.5088785794272916
San Luis Potosí,Alaquines,7785,3998,3787,3430,1555,0.45335276967930027
San Luis Potosí,Aquismón,48359,24346,24013,15234,2995,0.19659971117237757
San Luis Potosí,Armadillo de los Infante,4013,2016,1997,2202,745,0.3383287920072661
San Luis Potosí,Cárdenas,18317,9582,8735,7559,4213,0.5573488556687393
San Luis Potosí,Catorce,9579,4689,4890,4004,1680,0.4195804195804196
San Luis Potosí,Cedral,19840,10164,9676,7442,4132,0.555227089492072
San Luis Potosí,Cerritos,22075,11293,10782,9559,5336,0.5582173867559368
San Luis Potosí,Cerro de San Pedro,5050,2497,2553,2229,1092,0.4899057873485868
San Luis Potosí,Ciudad del Maíz,30320,15325,14995,11543,6414,0.5556614398336654
San Luis Potosí,Ciudad Fernández,48106,24663,23443,16433,10712,0.6518590640783789
San Luis Potosí,Tancanhuitz,20300,10299,10001,6106,1224,0.20045856534556175
San Luis Potosí,Ciudad Valles,179371,93009,86362,65309,40071,0.6135601525057802
San Luis Potosí,Coxcatlán,15660,7897,7763,5015,983,0.19601196410767696
San Luis Potosí,Charcas,21814,11158,10656,8137,4218,0.5183728646921469
San Luis Potosí,Ebano,40899,20968,19931,14706,9005,0.6123351013191894
San Luis Potosí,Guadalcázar,25119,12608,12511,9326,4307,0.4618271499034956
San Luis Potosí,Huehuetlán,15334,7852,7482,5005,1105,0.22077922077922077
San Luis Potosí,Lagunillas,5453,2723,2730,2654,1285,0.4841748304446119
San Luis Potosí,Matehuala,102199,52548,49651,34969,23797,0.6805170293688696
San Luis Potosí,Mexquitic de Carmona,58469,30598,27871,18082,10093,0.5581794049330826
San Luis Potosí,Moctezuma,19036,9955,9081,7463,3754,0.5030148733753182
San Luis Potosí,Rayón,15301,7843,7458,6708,3216,0.47942754919499103
San Luis Potosí,Rioverde,97943,50900,47043,36312,22069,0.6077605199383124
San Luis Potosí,Salinas,31107,16233,14874,10783,6375,0.5912083835667254
San Luis Potosí,San Antonio,9382,4678,4704,2833,341,0.12036710201200142
San Luis Potosí,San Ciro de Acosta,10215,5274,4941,4618,2360,0.5110437418796016
San Luis Potosí,San Luis Potosí,911908,471011,440897,301965,224263,0.7426787872766711
San Luis Potosí,San Martín Chalchicuautla,18468,9361,9107,6602,1550,0.2347773401999394
San Luis Potosí,San Nicolás Tolentino,4779,2408,2371,2682,1154,0.43027591349739003
San Luis Potosí,Santa Catarina,12163,6246,5917,4061,1152,0.2836739719280965
San Luis Potosí,Santa María del Río,39880,20722,19158,14523,6167,0.4246367830338084
San Luis Potosí,Santo Domingo,10785,5506,5279,4531,2351,0.518870006621055
San Luis Potosí,San Vicente Tancuayalab,14945,7534,7411,4987,2328,0.4668137156607179
San Luis Potosí,Soledad de Graciano Sánchez,332072,170195,161877,107614,78755,0.7318285724905681
San Luis Potosí,Tamasopo,29184,14438,14746,11391,5634,0.49460100079009744
San Luis Potosí,Tamazunchale,95037,48828,46209,29991,8994,0.299889966990097
San Luis Potosí,Tampacán,14348,7067,7281,4636,1415,0.3052200172562554
San Luis Potosí,Tampamolón Corona,13603,6848,6755,4294,1001,0.23311597578015836
San Luis Potosí,Tamuín,36968,18859,18109,13111,7378,0.5627335824879872
San Luis Potosí,Tanlajás,18208,9097,9111,5730,792,0.1382198952879581
San Luis Potosí,Tanquián de Escobedo,13448,6875,6573,4441,2261,0.5091195676649404
San Luis Potosí,Tierra Nueva,7966,4246,3720,3773,1286,0.340842830638749
San Luis Potosí,Vanegas,7557,3751,3806,2680,1399,0.5220149253731343
San Luis Potosí,Venado,14188,7172,7016,5790,2714,0.4687392055267703
San Luis Potosí,Villa de Arriaga,18206,9213,8993,5864,3229,0.5506480218281037
San Luis Potosí,Villa de Guadalupe,9277,4646,4631,3842,1856,0.48308172826652784
San Luis Potosí,Villa de la Paz,5298,2664,2634,1801,1129,0.6268739589117157
San Luis Potosí,Villa de Ramos,38389,20122,18267,14084,8000,0.5680204487361545
San Luis Potosí,Villa de Reyes,52912,26749,26163,14523,8540,0.5880327755973284
San Luis Potosí,Villa Hidalgo,15458,7803,7655,6172,3286,0.5324044069993519
San Luis Potosí,Villa Juárez,10304,5169,5135,5268,2303,0.4371678056188307
San Luis Potosí,Axtla de Terrazas,32544,16627,15917,10181,3615,0.3550731755230331
San Luis Potosí,Xilitla,49741,25311,24430,15696,4422,0.28172782874617736
San Luis Potosí,Zaragoza,27386,13904,13482,7986,4900,0.6135737540696219
San Luis Potosí,Villa de Arista,17258,8888,8370,5683,2970,0.5226112968502551
San Luis Potosí,Matlapa,28996,14885,14111,8670,1999,0.23056516724336792
San Luis Potosí,El Naranjo,20959,10514,10445,7882,4816,0.61101243339254
Sinaloa,Ahome,459310,233994,225316,160276,102216,0.637749881454491
Sinaloa,Angostura,44093,21964,22129,16111,10883,0.6755012103531749
Sinaloa,Badiraguato,26542,12873,13669,10547,4556,0.4319711766379065
Sinaloa,Concordia,24899,12360,12539,10903,5038,0.4620746583509126
Sinaloa,Cosalá,17012,8336,8676,5818,2918,0.5015469233413544
Sinaloa,Culiacán,1003530,512484,491046,340656,231364,0.6791719505894509
Sinaloa,Choix,29334,14445,14889,11402,4471,0.39212418873881777
Sinaloa,Elota,55339,26793,28546,15450,8341,0.5398705501618123
Sinaloa,Escuinapa,59988,29887,30101,21321,10901,0.5112799587261385
Sinaloa,El Fuerte,96593,48137,48456,32364,15594,0.4818316648127549
Sinaloa,Guasave,289370,146352,143018,92905,58900,0.6339809482805016
Sinaloa,Mazatlán,501441,256060,245381,196436,120231,0.6120619438392149
Sinaloa,Mocorito,40358,19783,20575,16294,8793,0.5396464956425678
Sinaloa,Rosario,52345,25896,26449,18695,10444,0.5586520460016047
Sinaloa,Salvador Alvarado,79492,41068,38424,29058,19423,0.6684217771353844
Sinaloa,San Ignacio,19505,9223,10282,8278,3806,0.4597728920028992
Sinaloa,Sinaloa,78670,38820,39850,27991,14396,0.5143081704833696
Sinaloa,Navolato,149122,73653,75469,47522,25565,0.5379613652624048
Sonora,Aconchi,2563,1227,1336,1113,639,0.5741239892183289
Sonora,Agua Prieta,91929,46118,45811,33485,21914,0.6544422875914588
Sonora,Alamos,24976,12067,12909,10065,3847,0.38221559860904125
Sonora,Altar,9492,4780,4712,3644,2128,0.58397365532382
Sonora,Arivechi,1177,583,594,684,278,0.4064327485380117
Sonora,Arizpe,2788,1342,1446,1555,797,0.512540192926045
Sonora,Atil,626,316,310,295,169,0.5728813559322034
Sonora,Bacadéhuachi,979,457,522,540,284,0.5259259259259259
Sonora,Bacanora,759,369,390,491,207,0.4215885947046843
